system	Bleu_1	Bleu_2	Bleu_3	Bleu_4	METEOR	ROUGE_L	CIDEr	SkipThoughtsCosineSimilairty	EmbeddingAverageCosineSimilairty	VectorExtremaCosineSimilarity	GreedyMatchingScore
S_1	0.590465	0.369537	0.243537	0.161895	0.204069	0.359828	0.082528	0.637991	0.913206	0.607345	0.758970
S_2	0.595842	0.371566	0.243336	0.159847	0.202011	0.360808	0.078018	0.645072	0.909034	0.603891	0.757234
S_3	0.589797	0.370682	0.244479	0.162279	0.203895	0.356736	0.082840	0.638643	0.902597	0.607135	0.758747
S_4	0.579380	0.349488	0.227326	0.150432	0.182631	0.344561	0.080335	0.645116	0.906976	0.598956	0.753394
S_5	0.639727	0.424351	0.297680	0.211847	0.213986	0.395288	0.106043	0.707464	0.927093	0.637103	0.774716
S_6	0.619872	0.400182	0.271173	0.185096	0.204039	0.374847	0.096535	0.670564	0.911633	0.615456	0.761268
S_7	0.582384	0.353791	0.231281	0.153237	0.183308	0.346887	0.079977	0.646337	0.907681	0.599912	0.754364
S_8	0.658985	0.445155	0.312843	0.220458	0.221000	0.410237	0.127932	0.663584	0.925141	0.644915	0.780150
S_9	0.598211	0.372894	0.244073	0.160206	0.201596	0.360592	0.078235	0.647425	0.907409	0.603103	0.756664
S_10	0.598761	0.385818	0.260716	0.177945	0.208546	0.382934	0.097785	0.625927	0.920097	0.610623	0.768316
S_11	0.605368	0.384964	0.257779	0.174081	0.202389	0.370269	0.099387	0.634841	0.898470	0.599972	0.757339
S_12	0.570881	0.333498	0.207666	0.134225	0.176151	0.336601	0.094683	0.612680	0.880185	0.591265	0.741218
S_13	0.547773	0.302639	0.176827	0.109228	0.173083	0.320093	0.070213	0.613216	0.897658	0.587011	0.741994
S_14	0.599991	0.379664	0.253771	0.171648	0.207121	0.367113	0.089839	0.652893	0.910639	0.607894	0.759642
S_15	0.581420	0.342208	0.219841	0.148038	0.181258	0.338752	0.102521	0.613056	0.908706	0.592793	0.743280
S_16	0.511138	0.272771	0.160348	0.099070	0.168699	0.314557	0.070815	0.595193	0.899608	0.567478	0.725746
S_17	0.579021	0.342969	0.219119	0.144791	0.183890	0.337468	0.093969	0.602484	0.908343	0.591538	0.743271
S_18	0.547983	0.311535	0.193709	0.126123	0.175398	0.330971	0.094534	0.615060	0.898398	0.581363	0.733000
S_19	0.592520	0.362683	0.236429	0.157497	0.191811	0.365808	0.111167	0.645686	0.907628	0.607462	0.752753
S_20	0.694447	0.492846	0.366300	0.276160	0.165589	0.348248	0.123457	0.698892	0.801772	0.585424	0.731624
